Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
BV1151-CMD,Default tag table,Bool,%Q21.0,Manufacturing Filtration Line Cooling Water Return Valve Valve OPEN / CLOSE command,True,True,True,,
BV1153-CMD,Default tag table,Bool,%Q21.1,Manufacturing Filtration Line Cooling Water Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV1101-CMD,Default tag table,Bool,%Q21.2,M1 Vent Valve Valve OPEN / CLOSE command,True,True,True,,
DV1103-CMD,Default tag table,Bool,%Q21.3,M1 HP CA Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV1105-CMD,Default tag table,Bool,%Q21.4,M1 LP CA Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV1107-CMD,Default tag table,Bool,%Q21.5,M1 Vacuum valve Valve OPEN / CLOSE command,True,True,True,,
DV1109-CMD,Default tag table,Bool,%Q21.6,M1 PS Supply for WFI Loop Valve OPEN / CLOSE command,True,True,True,,
DV1111-CMD,Default tag table,Bool,%Q21.7,M1 WFI Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV1113-CMD,Default tag table,Bool,%Q22.0,M1 PW Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV1115-CMD,Default tag table,Bool,%Q22.1,M1 PS Supply for PW Loop Valve OPEN / CLOSE command,True,True,True,,
DV1117-CMD,Default tag table,Bool,%Q22.2,M1 Spray Ball 1 Valve Valve OPEN / CLOSE command,True,True,True,,
DV1119-CMD,Default tag table,Bool,%Q22.3,M1 Spray Ball 2 Valve Valve OPEN / CLOSE command,True,True,True,,
DV1121-CMD,Default tag table,Bool,%Q22.4,M1 Outlet Valve Valve OPEN / CLOSE command,True,True,True,,
DV1135-CMD,Default tag table,Bool,%Q22.5,SMFL1 Filtration Line filter outlet drain valve Valve OPEN / CLOSE command,True,True,True,,
DV1137-CMD,Default tag table,Bool,%Q22.6,SMFL1 Filtration Line filter outlet valve Valve OPEN / CLOSE command,True,True,True,,
DV1171-CMD,Default tag table,Bool,%Q22.7,MMFL1 Filtration Line filter inlet drain valve Valve OPEN / CLOSE command,True,True,True,,
