Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
ZSC2113-DI,Default tag table,Bool,%I6.0,MMFL2 Inlet Flowpath Switch input,True,True,True,,
ZSC2115-DI,Default tag table,Bool,%I6.1,MMFL2 Inlet CIP & SIP Flowpath Switch input,True,True,True,,
ZSC4101-DI,Default tag table,Bool,%I11.6,S2 Manway Close Indicator Switch input,True,True,True,,
ZSC4103-DI,Default tag table,Bool,%I11.7,S2 WFI Supply Flowpath Switch input,True,True,True,,
ZSC4105-DI,Default tag table,Bool,%I12.0,S2 PW Supply Flowpath Switch input,True,True,True,,
ZSC4107-DI,Default tag table,Bool,%I12.1,S2 Inlet line Flowpath Switch input,True,True,True,,
ZSC4111-DI,Default tag table,Bool,%I12.2,VTL2 to M1 Flowpath Indicator Switch input,True,True,True,,
ZSC4113-DI,Default tag table,Bool,%I12.3,VTL2 to M2 Flowpath Indicator Switch input,True,True,True,,
ZSC4115-DI,Default tag table,Bool,%I12.4,S2 to F1P1 Flowpath Indicator Switch input,True,True,True,,
ZSC4117-DI,Default tag table,Bool,%I12.5,S2 to F2P1 Flowpath Indicator Switch input,True,True,True,,
HE2101-CMD,Default tag table,Bool,%Q0.0,M2 Electric Heating Element Heating element output,True,True,True,,
HE4101-CMD,Default tag table,Bool,%Q1.0,S2 Electric Heating Element Heating element output,True,True,True,,
AG2101-RAW,Default tag table,Int,%IW20,M2 Agitator Motor speed pulse counter raw field value,True,True,True,,
PI2103-RAW,Default tag table,Int,%IW24,M2 Vessel Pressure Pressure input raw field value,True,True,True,,
PI4103-RAW,Default tag table,Int,%IW40,S2 Vessel Pressure Pressure input raw field value,True,True,True,,
TI2101-RAW,Default tag table,Int,%IW22,M2 Vent Filter Temperature Line Temperature input raw field value,True,True,True,,
TI2103-RAW,Default tag table,Int,%IW26,M2 Vent Filter top outlet temp Line Temperature input raw field value,True,True,True,,
TI2105-RAW,Default tag table,Int,%IW28,M2 Temperature Indicator Temperature input raw field value,True,True,True,,
TI2107-RAW,Default tag table,Int,%IW30,M2 Drain Temperature Line Temperature input raw field value,True,True,True,,
TI2109-RAW,Default tag table,Int,%IW32,MFL2 HEX Temperature Temperature input raw field value,True,True,True,,
TI2111-RAW,Default tag table,Int,%IW34,SMFL2 Drain Temperature Line Temperature input raw field value,True,True,True,,
TI4101-RAW,Default tag table,Int,%IW42,S2 Vent Filter Temperature Line Temperature input raw field value,True,True,True,,
TI4103-RAW,Default tag table,Int,%IW44,S2 Vent Filter top outlet temp Line Temperature input raw field value,True,True,True,,
TI4105-RAW,Default tag table,Int,%IW46,S2 Temperature Indicator Temperature input raw field value,True,True,True,,
TI4107-RAW,Default tag table,Int,%IW48,S2 Drain temperature Line Temperature input raw field value,True,True,True,,
TCV2157-MOD,Default tag table,Int,%QW10,MFL cooling water supply valve Valve position in %,True,True,True,,
AG2101-FLT,Default tag table,Bool,%I7.4,M2 Agitator Inverter fault,True,True,True,,
AG2101-CMD,Default tag table,Bool,%Q26.3,M2 Agitator Inverter motor RUN / STOP command,True,True,True,,
AG2101-OUT_F,Default tag table,Bool,%Q0.1,M2 Agitator Motor run forward,True,True,True,,
AG2101-OUT_R,Default tag table,Bool,%Q0.2,M2 Agitator Motor run reverse,True,True,True,,
BAV2139-CMD,Default tag table,Bool,%Q20.0,M2 Vent line drain valve Valve OPEN / CLOSE command,True,True,True,,
BAV2141-CMD,Default tag table,Bool,%Q20.1,M2 Vent Filter drain valve Valve OPEN / CLOSE command,True,True,True,,
BAV2143-CMD,Default tag table,Bool,%Q20.2,M2 SIP Condensate Drain Valve Valve OPEN / CLOSE command,True,True,True,,
BAV2145-CMD,Default tag table,Bool,%Q20.3,M2 CIP Drain Valve Valve OPEN / CLOSE command,True,True,True,,
BAV2147-CMD,Default tag table,Bool,%Q20.4,SMFL2 Condenste Drain Valve Valve OPEN / CLOSE command,True,True,True,,
BAV2149-CMD,Default tag table,Bool,%Q20.5,SMFL2 CIP Drain Valve Valve OPEN / CLOSE command,True,True,True,,
BAV2167-CMD,Default tag table,Bool,%Q20.6,MFL2 PCW Supply Drain Valve Valve OPEN / CLOSE command,True,True,True,,
BAV2169-CMD,Default tag table,Bool,%Q20.7,MFL2 PCW Return Drain Valve Valve OPEN / CLOSE command,True,True,True,,
BAV4139-CMD,Default tag table,Bool,%Q24.0,S2 Vent line drain valve Valve OPEN / CLOSE command,True,True,True,,
BAV4141-CMD,Default tag table,Bool,%Q24.1,S2 Vent Filter drain valve Valve OPEN / CLOSE command,True,True,True,,
BAV4143-CMD,Default tag table,Bool,%Q24.2,S2 SIP Drain valve Valve OPEN / CLOSE command,True,True,True,,
BAV4145-CMD,Default tag table,Bool,%Q24.3,S2 CIP Drain valve Valve OPEN / CLOSE command,True,True,True,,
BV2151-CMD,Default tag table,Bool,%Q21.0,MFL2 PCW Return Valve Valve OPEN / CLOSE command,True,True,True,,
BV2153-CMD,Default tag table,Bool,%Q21.1,MFL2 PCW Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV2101-CMD,Default tag table,Bool,%Q21.2,M2 Vent Valve Valve OPEN / CLOSE command,True,True,True,,
DV2103-CMD,Default tag table,Bool,%Q21.3,M2 HP CA Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV2105-CMD,Default tag table,Bool,%Q21.4,M2 LP CA Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV2107-CMD,Default tag table,Bool,%Q21.5,M2 Vacuum valve Valve OPEN / CLOSE command,True,True,True,,
DV2109-CMD,Default tag table,Bool,%Q21.6,M2 PS Supply for WFI Loop Valve OPEN / CLOSE command,True,True,True,,
DV2111-CMD,Default tag table,Bool,%Q21.7,M2 WFI Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV2113-CMD,Default tag table,Bool,%Q22.0,M2 PW Supply Valve Valve OPEN / CLOSE command,True,True,True,,
DV2115-CMD,Default tag table,Bool,%Q22.1,M2 PS Supply for PW Loop Valve OPEN / CLOSE command,True,True,True,,
DV2117-CMD,Default tag table,Bool,%Q22.2,M2 Spray Ball 1 Valve Valve OPEN / CLOSE command,True,True,True,,
DV2119-CMD,Default tag table,Bool,%Q22.3,M2 Spray Ball 2 Valve Valve OPEN / CLOSE command,True,True,True,,
DV2121-CMD,Default tag table,Bool,%Q22.4,M2 Outlet Valve Valve OPEN / CLOSE command,True,True,True,,
